랭킹	지역	상호명	업종	주소	경도	위도
7062	서울	쭈퐁 홍대점	한식	마포구 서교동	126.9187795	37.5538373
7063	제주	망고레이 우도점	카페/주점	제주 제주시 우도면	126.9554783	33.5054232
7064	충북	투핸즈	카페/주점	청주시 서원구 산남동	127.4406468	36.6332419
7065	서울	해밀턴건너편고깃집	한식	용산구 이태원동	126.9925274	37.5385142
7066	서울	파이브테이블즈(five tables)	양식	마포구 망원동	126.8998549	37.5554916
7067	강원	함흥냉면옥	한식	강원 속초시 금호동	128.5794635	38.2100509
7068	서울	제이알바베큐(JR Southern BBQ)	양식	용산구 이태원동	126.9925274	37.5385142
7069	제주	TABLE M(디아일랜드마리나호텔)	카페/주점	제주 서귀포시 성산읍	126.8647385	33.4180242
7070	서울	인생극장	한식	강남구 논현동	127.0317166	37.5136758
7071	서울	이로 신논현점	한식	강남구 역삼동	127.0385535	37.5000807
7072	서울	신맵당 강남역점	한식	강남구 역삼동	127.0385535	37.5000807
7073	서울	재클린파이카페	카페/주점	강남구 신사동	127.0265061	37.5238058
7074	서울	셰레타이(Chez les Thais)	기타/세계	강남구 신사동	127.0265061	37.5238058
7075	서울	오쭈 가로수길직영점	한식	강남구 신사동	127.0265061	37.5238058
7076	서울	메이븐(MAVEN)	카페/주점	강남구 신사동	127.0265061	37.5238058
7077	경기	왓츠삼겹(What's삼겹)	한식	용인시 기흥구 보정동	127.1071275	37.309358
7078	서울	쓰리매너티(Three Manatee)	양식	강남구 신사동	127.0265061	37.5238058
7079	제주	하루e수다	카페/주점	제주 제주시 조천읍	126.6674593	33.4721683
7080	제주	공세	양식	제주 제주시 구좌읍	126.7954453	33.4980741
7081	제주	성산포황금어장	한식	제주 서귀포시 성산읍	126.8647385	33.4180242
7082	강원	신피디통큰	한식	강원 속초시 중앙동	128.5892197	38.2063715
7083	제주	바당꺼몬딱	분식	제주 제주시 우도면	126.9554783	33.5054232
7084	경기	원모어(one more)	카페/주점	수원시 팔달구 장안동	127.0129262	37.2864882
7085	서울	제이네살롱	양식	마포구 합정동	126.9090439	37.547026
7086	전북	꿈꾸는기린	카페/주점	전주시 완산구 풍남동3가	127.1525114	35.8160279
7087	울산	육병장 삼산점	한식	울산 남구 달동	129.3268438	35.5372606
7088	제주	진등포	한식	제주 제주시 이도이동	126.539439	33.4953117
7089	경남	브루스케타 김해점	양식	경남 김해시 신문동	128.8235755	35.1885881
7090	강원	장터순대국	한식	강원 속초시 금호동	128.5794635	38.2100509
7091	강원	가곡막국수 강릉점	한식	강원 강릉시 구정면	128.8850464	37.6985013
7092	경북	삼손짜장	중식	경북 경주시 천군동	129.285085	35.8217808
7093	서울	치즈윅(CHEESE WICK)	카페/주점	용산구 이태원동	126.9925274	37.5385142
7094	강원	커피첼리	카페/주점	강원 춘천시 조양동	127.7303121	37.8797664
7095	서울	메트로폴리스(METROPOLIS)	카페/주점	용산구 이태원동	126.9925274	37.5385142
7096	강원	비엔토(Viento)	양식	강원 고성군 토성면	128.4926958	38.249576
7097	경기	이서방왕족발	한식	수원시 권선구 세류동	127.0098109	37.2548432
7098	강원	의령식당	한식	강원 속초시 영랑동	128.5928242	38.2157684
